iter	Passed	Remaining
883	1720	225
884	1721	223
885	1723	221
886	1725	219
887	1727	217
888	1729	215
889	1730	213
890	1732	211
891	1734	209
892	1736	208
893	1737	206
894	1739	204
895	1741	202
896	1743	200
897	1745	198
898	1746	196
899	1748	194
900	1750	192
901	1752	190
902	1754	188
903	1756	186
904	1758	184
905	1760	182
906	1761	180
907	1763	178
908	1765	176
909	1767	174
910	1770	172
911	1772	170
912	1773	169
913	1775	167
914	1777	165
915	1779	163
916	1781	161
917	1783	159
918	1784	157
919	1786	155
920	1788	153
921	1790	151
922	1791	149
923	1793	147
924	1795	145
925	1797	143
926	1799	141
927	1801	139
928	1803	137
929	1805	135
930	1807	133
931	1808	131
932	1810	130
933	1812	128
934	1814	126
935	1816	124
936	1818	122
937	1820	120
938	1821	118
939	1823	116
940	1825	114
941	1827	112
942	1829	110
943	1831	108
944	1832	106
945	1834	104
946	1836	102
947	1838	100
948	1840	98
949	1842	96
950	1844	95
951	1845	93
952	1847	91
953	1849	89
954	1851	87
955	1852	85
956	1854	83
957	1856	81
958	1858	79
959	1860	77
960	1862	75
961	1864	73
962	1865	71
963	1867	69
964	1869	67
965	1872	65
966	1874	63
967	1876	62
968	1878	60
969	1880	58
970	1882	56
971	1884	54
972	1887	52
973	1888	50
974	1890	48
975	1892	46
976	1893	44
977	1895	42
978	1897	40
979	1899	38
980	1901	36
981	1903	34
982	1904	32
983	1906	31
984	1908	29
985	1910	27
986	1912	25
987	1914	23
988	1916	21
989	1917	19
990	1919	17
991	1921	15
992	1922	13
993	1924	11
994	1926	9
995	1928	7
996	1930	5
997	1932	3
998	1934	1
999	1936	0
